symbol,dollar_vol_60d,company
MU,41168448240,Micron Technology
NVDA,28120741472,Nvidia
SNDK,22559626075,Sandisk
AAPL,16533674025,Apple Inc
MSFT,15604246512,Microsoft
TSLA,15082426725,Tesla
AMD,13162474450,Advanced Micro Devices
AMZN,12035322941,Amazon
INTC,11991957756,Intel Corp
META,10565527896,Meta Platforms
GOOGL,10515171957,Alphabet
AVGO,9150889631,Broadcom
MRVL,8130265794,Marvell Technology
GOOG,7002322264,Google
PLTR,5973887136,Palantir
TSM,5453375263,Taiwan Semiconductor
AMAT,5202939868,Applied Materials
WDC,4668094185,Western Digital
ORCL,4560371342,Oracle Corp
STX,4259284301,Seagate Technology
LITE,3957752484,Lumentum
LRCX,3746288019,Lam Research
DELL,3322407512,Dell Technologies
LLY,3290925330,Eli Lilly
NFLX,3122006200,Netflix
ASML,3113985859,ASML Holding
CRM,2886303340,Salesforce
CAT,2864585058,Caterpillar
JPM,2786896714,JPMorgan Chase
V,2757434170,Visa Inc
GEV,2734897337,GE Vernova
WMT,2727663855,Walmart
KLAC,2717325487,KLA Corp
QCOM,2597049779,Qualcomm
CRWV,2556473267,CoreWeave
CSCO,2517848139,Cisco Systems
MSTR,2517493116,MicroStrategy
HOOD,2496462016,Robinhood
APP,2472593908,AppLovin
NOW,2457736955,ServiceNow
GLW,2353901637,Corning Inc
XOM,2335099749,Exxon Mobil
TXN,2268144726,Texas Instruments
BRK-B,2262964907,Berkshire Hathaway
PANW,2254119361,Palo Alto Networks
